department,count,avg_confidence,min_confidence,max_confidence,high_confidence_count,needs_review_count
IT,3,0.8602203329404196,0.6869138479232788,0.9489288330078125,2,1
Healthcare,2,0.5376021564006805,0.489172101020813,0.5860322117805481,0,2
Finance,2,0.9471116662025452,0.9359452724456787,0.9582780599594116,2,0
Sales,1,0.9527164101600647,0.9527164101600647,0.9527164101600647,1,0
HR,1,0.9756929278373718,0.9756929278373718,0.9756929278373718,1,0
Engineering,1,0.9594884514808655,0.9594884514808655,0.9594884514808655,1,0
