Department,Text_Length,Word_Count
HR,4887,594
HR,5982,756
HR,6229,825
HR,5447,662
HR,7791,1000
HR,5236,734
HR,5242,682
HR,4945,615
HR,7079,910
HR,6819,812
HR,6120,758
HR,2930,372
HR,2788,342
HR,6664,834
HR,2483,309
HR,5812,850
HR,3063,400
HR,6844,938
HR,5166,667
HR,5888,724
HR,6343,805
HR,6255,816
HR,11184,1509
HR,8859,1118
HR,4966,735
HR,5467,645
HR,2860,370
HR,6407,810
HR,5025,649
HR,2285,260
HR,2823,345
HR,2777,330
HR,2035,273
HR,1815,209
HR,2257,279
HR,6015,736
HR,5208,679
HR,1632,183
HR,3479,430
HR,2364,283
HR,3122,423
HR,3916,475
HR,5007,651
HR,2452,309
HR,1953,257
HR,5626,765
HR,18080,2694
HR,6282,850
HR,5293,663
HR,5814,755
HR,6012,813
HR,2628,331
HR,3442,428
HR,9805,1151
HR,6082,765
HR,8671,1085
HR,5428,686
HR,5520,635
HR,6255,795
HR,5576,681
HR,3888,492
HR,14004,1832
HR,6667,830
HR,5623,745
HR,5061,640
HR,5514,733
HR,5656,697
HR,3588,465
HR,5457,684
HR,6593,843
HR,6354,894
HR,6551,798
HR,5657,713
HR,5603,692
HR,5325,689
HR,6084,780
HR,9176,1247
HR,10931,1422
HR,5068,635
HR,7604,1027
HR,5247,635
HR,5648,763
HR,7461,976
HR,2980,407
HR,6394,812
HR,5183,676
HR,6018,758
HR,5879,726
HR,5716,711
HR,5735,756
HR,3484,436
HR,5978,663
HR,5221,701
HR,5966,884
HR,4141,523
HR,7983,1009
HR,4878,625
HR,12447,1590
HR,5572,696
HR,5241,667
HR,3665,468
HR,7586,958
HR,5069,638
HR,5293,645
HR,5433,689
HR,5381,681
HR,2432,304
HR,5893,772
HR,5224,644
HR,14150,1733
HR,5129,640
HR,7278,929
HR,5158,646
HR,5284,663
HR,5386,692
HR,6205,801
HR,5747,731
HR,5147,700
HR,5790,743
HR,4275,518
HR,7873,991
HR,5290,666
HR,7075,940
HR,4812,611
HR,5237,655
HR,5389,644
HR,7619,1006
HR,7246,951
HR,8027,972
HR,6702,867
HR,5800,717
HR,18652,2309
HR,14516,1844
HR,5775,757
HR,4694,601
HR,8666,1278
HR,7978,1118
HR,7727,993
HR,8195,1123
HR,5934,781
HR,7556,946
HR,12666,1923
HR,6289,852
HR,6328,794
HR,12223,1629
HR,5421,704
HR,5172,647
HR,6484,836
HR,5595,707
HR,8714,1088
HR,5685,731
HR,8675,1073
HR,7056,892
HR,6713,857
HR,2764,343
HR,2136,266
HR,5509,720
HR,6367,829
HR,5024,651
HR,5810,733
HR,5204,667
HR,5585,692
HR,5294,717
HR,2435,311
HR,5564,704
HR,7407,936
HR,7640,988
HR,8287,1313
HR,7658,974
HR,5123,648
HR,6831,804
HR,6075,731
HR,8672,1152
HR,7267,995
HR,7631,938
HR,5271,650
HR,5026,645
HR,7078,899
HR,8128,1015
HR,2660,331
HR,5729,763
HR,6518,837
HR,4776,597
HR,5678,695
HR,6164,768
HR,5294,633
HR,20975,2888
HR,8226,1061
HR,7696,942
HR,5050,612
HR,6075,797
HR,6065,758
HR,12387,1566
HR,5876,783
HR,9455,1431
HR,4306,566
Sales,6828,874
Sales,11038,1425
Sales,5092,668
Sales,7663,1030
Sales,5281,637
Sales,6611,851
Sales,3662,438
Sales,3368,417
Sales,4915,619
Sales,5361,657
Sales,2513,306
Sales,2681,326
Sales,5264,665
Sales,7608,927
Sales,4502,549
Sales,7856,954
Sales,7257,925
Sales,5134,631
Sales,6745,861
Sales,4490,534
Sales,10626,1389
Sales,8334,1084
Sales,6959,913
Sales,5196,643
Sales,7513,989
Sales,5639,694
Sales,7924,1075
Sales,7648,1006
Sales,3099,360
Sales,3921,495
Sales,2339,280
Sales,2989,370
Sales,6473,816
Sales,7400,975
Sales,6533,857
Sales,5023,648
Sales,8039,1024
Sales,5871,725
Sales,7918,1033
Sales,5047,638
Sales,5529,716
Sales,10086,1200
Sales,5536,732
Sales,5461,670
Sales,7621,996
Sales,5642,694
Sales,6938,912
Sales,8566,1189
Sales,7549,947
Sales,5480,731
Sales,7446,950
Sales,5604,756
Sales,5798,777
Sales,6143,801
Sales,6001,753
Sales,5842,742
Sales,5577,716
Sales,6828,969
Sales,4070,505
Sales,5227,648
Sales,6267,798
Sales,2635,337
Sales,1726,216
Sales,3931,485
Sales,5624,783
Sales,5250,664
Sales,8645,1176
Sales,5512,681
Sales,5579,723
Sales,6940,907
Sales,6457,827
Sales,7000,909
Sales,3789,467
Sales,6034,798
Sales,6240,832
Sales,8333,1172
Sales,9168,1134
Sales,6061,750
Sales,7673,956
Sales,7720,1083
Sales,7825,954
Sales,9419,1218
Sales,5595,724
Sales,5954,794
Sales,8530,1096
Sales,6921,842
Sales,6761,844
Sales,5591,695
Sales,12830,1605
Sales,10707,1399
Sales,3922,536
Sales,4458,564
Sales,5490,712
Sales,6444,874
Sales,3940,482
Sales,3879,488
Sales,5783,697
Sales,6155,737
Sales,3862,478
Sales,21,0
Sales,6532,838
Sales,5459,737
Sales,3199,370
Sales,7951,974
Sales,7627,1146
Sales,3955,514
Sales,2962,364
Sales,5411,684
Sales,5783,718
Sales,5566,688
Sales,5117,670
Sales,6829,888
Sales,5012,640
Sales,6917,872
Sales,9970,1316
Sales,3767,512
Sales,5377,711
Sales,5993,764
Sales,6362,773
Sales,5513,675
Healthcare,9999,1363
Healthcare,5967,651
Healthcare,5230,650
Healthcare,5644,711
Healthcare,12348,1615
Healthcare,3474,390
Healthcare,21316,2749
Healthcare,8451,1059
Healthcare,5874,706
Healthcare,5600,689
Healthcare,4512,556
Healthcare,6433,836
Healthcare,8835,1143
Healthcare,5698,678
Healthcare,4832,602
Healthcare,5410,749
Healthcare,6147,788
Healthcare,5802,746
Healthcare,6727,864
Healthcare,5819,722
Healthcare,5567,723
Healthcare,5111,716
Healthcare,5060,621
Healthcare,8751,1061
Healthcare,5794,794
Healthcare,5880,726
Healthcare,5872,733
Healthcare,2494,307
Healthcare,5384,660
Healthcare,10293,1404
Healthcare,11382,1442
Healthcare,5881,790
Healthcare,7523,902
Healthcare,6324,808
Healthcare,7701,970
Healthcare,5871,752
Healthcare,6499,790
Healthcare,16384,2067
Healthcare,5128,621
Healthcare,8309,1020
Healthcare,6795,953
Healthcare,7412,959
Healthcare,12039,1468
Healthcare,5849,738
Healthcare,5278,634
Healthcare,5191,669
Healthcare,8388,1029
Healthcare,9557,1089
Healthcare,5826,764
Healthcare,6103,798
Healthcare,1954,242
Healthcare,5318,653
Healthcare,5901,725
Healthcare,3542,443
Healthcare,12523,1591
Healthcare,6709,917
Healthcare,5012,645
Healthcare,4952,618
Healthcare,11282,1361
Healthcare,3606,437
Healthcare,8379,1133
Healthcare,7952,980
Healthcare,6704,882
Healthcare,7639,983
Healthcare,6258,761
Healthcare,5437,696
Healthcare,5519,669
Healthcare,8356,987
Healthcare,7899,1032
Healthcare,5379,672
Healthcare,8666,1128
Healthcare,8169,1021
Healthcare,7094,866
Healthcare,6207,729
Healthcare,5247,649
Healthcare,6165,750
Healthcare,12339,1589
Healthcare,7505,962
Healthcare,9754,1239
Healthcare,6141,814
Healthcare,5174,648
Healthcare,8568,1061
Healthcare,6508,831
Healthcare,5252,654
Healthcare,9804,1284
Healthcare,7447,912
Healthcare,5601,694
Healthcare,6772,979
Healthcare,8695,1043
Healthcare,5432,717
Healthcare,6093,700
Healthcare,6925,857
Healthcare,6773,876
Healthcare,6198,763
Healthcare,5430,708
Healthcare,5305,687
Healthcare,8067,1077
Healthcare,9119,1133
Healthcare,7475,969
Healthcare,5217,680
Healthcare,5440,715
Healthcare,5245,643
Healthcare,6174,794
Healthcare,8118,984
Healthcare,5590,659
Healthcare,6144,745
Healthcare,5534,690
Healthcare,6974,809
Healthcare,6675,830
Healthcare,6168,794
Healthcare,7099,935
Healthcare,7349,965
Healthcare,5209,658
Healthcare,12058,1514
Healthcare,9557,947
Healthcare,2894,380
Healthcare,5040,652
Healthcare,5736,745
Healthcare,5557,715
Healthcare,3204,391
Healthcare,7040,915
Healthcare,2999,379
Healthcare,1556,199
Healthcare,5140,642
Healthcare,3320,393
Healthcare,7799,957
Healthcare,6903,907
Healthcare,5578,880
Healthcare,5571,712
Healthcare,2364,306
Healthcare,6436,891
Healthcare,5374,738
Healthcare,6657,897
Healthcare,13558,1770
Healthcare,8702,1265
Healthcare,6707,852
Healthcare,4193,681
Healthcare,5974,754
Healthcare,5239,640
Healthcare,5089,630
Healthcare,6746,891
Healthcare,5586,723
Healthcare,6032,796
Healthcare,1995,241
Healthcare,5963,788
Healthcare,2457,318
Healthcare,5552,728
Healthcare,2544,317
Healthcare,2626,333
Healthcare,4751,604
Healthcare,3819,505
Healthcare,7356,937
Healthcare,2180,267
Healthcare,8069,1002
Healthcare,8404,1090
Healthcare,8110,1062
Healthcare,3875,501
Healthcare,8666,1110
Healthcare,5209,653
Healthcare,2707,370
Healthcare,5268,680
Healthcare,5816,753
Healthcare,6173,814
Healthcare,2967,375
Healthcare,2690,340
Healthcare,2975,373
Healthcare,5937,725
Healthcare,5577,745
Healthcare,6427,764
Healthcare,5460,701
Healthcare,3822,478
Healthcare,7129,986
Healthcare,7480,1003
Healthcare,7649,1017
Healthcare,2837,316
Healthcare,4747,706
Healthcare,6164,839
Healthcare,7923,1045
Healthcare,5922,718
Healthcare,10162,1307
Healthcare,5470,693
Healthcare,3331,399
Healthcare,2771,356
Healthcare,6666,795
Healthcare,5633,683
Healthcare,8635,1124
Healthcare,5204,671
Healthcare,6955,1078
Healthcare,6063,735
Healthcare,3154,407
Healthcare,9606,1198
Healthcare,5929,836
Healthcare,5913,765
Healthcare,5739,730
Healthcare,8779,1233
Healthcare,5185,626
Healthcare,5394,732
Healthcare,7684,1070
Healthcare,5576,700
Healthcare,5079,738
Healthcare,7132,922
Healthcare,5496,747
Healthcare,5032,661
Healthcare,6302,827
Healthcare,7437,912
Healthcare,8244,1080
Healthcare,4788,589
Healthcare,7833,956
Healthcare,4094,499
Healthcare,5201,713
Healthcare,5280,653
Healthcare,2627,325
Healthcare,2235,283
Healthcare,2538,331
Healthcare,5165,639
Healthcare,6908,867
Healthcare,5239,666
Healthcare,5980,730
Healthcare,6303,822
Healthcare,14224,1797
Healthcare,5180,620
Healthcare,6156,802
Healthcare,5197,636
Healthcare,6253,821
Healthcare,4376,540
Healthcare,7294,890
Healthcare,5130,684
Healthcare,1712,206
Healthcare,2880,353
Healthcare,7290,893
Healthcare,5196,621
Healthcare,5766,729
Engineering,6977,914
Engineering,6338,835
Engineering,5836,709
Engineering,14612,1970
Engineering,2729,344
Engineering,7279,933
Engineering,5994,793
Engineering,5121,663
Engineering,5980,758
Engineering,5302,690
Engineering,5160,663
Engineering,6596,862
Engineering,5310,678
Engineering,5584,717
Engineering,6801,907
Engineering,4510,600
Engineering,5509,687
Engineering,8360,1101
Engineering,1637,196
Engineering,1560,192
Engineering,8954,1196
Engineering,2430,308
Engineering,8582,1179
Engineering,4979,642
Engineering,5686,817
Engineering,5522,703
Engineering,5593,737
Engineering,6024,777
Engineering,4968,624
Engineering,5481,692
Engineering,6548,863
Engineering,6161,806
Engineering,8464,1072
Engineering,6008,783
Engineering,5321,642
Engineering,5308,694
Engineering,5774,720
Engineering,9644,1239
Engineering,5202,668
Engineering,5196,637
Engineering,7186,882
Engineering,5826,816
Engineering,6647,857
Engineering,3662,453
Engineering,6937,904
Engineering,5951,765
Engineering,5753,823
Engineering,5187,673
Engineering,11591,1510
Engineering,7958,950
Engineering,7920,1005
Engineering,5144,666
Engineering,5797,735
Engineering,4997,614
Engineering,7374,896
Engineering,7765,1063
Engineering,11134,1415
Engineering,11821,1644
Engineering,10939,1471
Engineering,11850,1463
Engineering,8405,1052
Engineering,10020,1325
Engineering,7229,953
IT,4612,645
IT,6210,770
IT,3317,420
IT,8533,1125
IT,7817,984
IT,7876,1085
IT,5390,692
IT,8474,1107
IT,6203,834
IT,7228,922
IT,6469,829
IT,6135,797
IT,6187,726
IT,3966,513
IT,10091,1498
IT,8294,1107
IT,16223,2310
IT,9123,1236
IT,7521,1053
IT,5366,727
IT,5774,775
IT,10180,1278
Sales,5474,672
Sales,2097,288
Sales,3758,480
Sales,6098,753
Sales,5444,740
Sales,8028,1017
Sales,7828,940
Sales,12759,1640
Sales,5249,685
Sales,5119,631
Sales,6576,856
Sales,6607,858
Sales,7405,952
Sales,3234,442
Sales,6664,890
Sales,6568,863
Sales,1913,255
Sales,4814,595
Sales,7227,961
Sales,5405,679
Sales,2733,350
Sales,5598,799
Sales,9448,1349
Sales,5816,680
Sales,5396,674
Sales,6852,1015
Sales,6860,867
Sales,5244,667
Sales,7769,1096
Sales,5639,904
Sales,5780,778
Sales,5397,696
Sales,1339,169
Sales,8488,1099
Sales,5533,704
Sales,4722,632
Sales,2758,359
Sales,2348,289
Sales,2915,368
Sales,2828,370
Sales,3045,373
Sales,2387,300
Sales,2210,284
Sales,2532,311
Sales,1644,222
Sales,1212,169
Sales,3700,454
Sales,2611,319
Sales,6573,852
Sales,2011,247
Sales,3573,448
Sales,2629,322
Sales,2635,331
Sales,2597,387
Sales,5385,680
Sales,1033,122
Sales,5971,801
Sales,2221,273
Sales,3520,457
Sales,2919,378
Sales,3074,427
Sales,4848,628
Sales,3621,458
Sales,6302,899
Sales,7049,875
Sales,5151,675
Sales,5251,696
Sales,5621,750
Sales,5472,725
Sales,5991,759
Sales,6428,937
Sales,2433,302
Sales,5917,813
Sales,5493,665
Sales,5223,716
Sales,6235,833
Sales,6840,933
Sales,9931,1424
Sales,5332,670
Sales,5008,637
Sales,5773,740
Sales,5284,684
Sales,4905,621
Sales,1849,208
Sales,5922,730
Sales,5962,796
Sales,6448,804
Sales,5567,717
Sales,9254,1121
Sales,6998,888
Sales,18618,2486
Sales,5340,630
Sales,9815,1258
Sales,9508,1227
Sales,9044,1236
Sales,3654,459
Sales,5766,821
Sales,6211,821
Sales,6733,868
Sales,8221,1027
Sales,3950,510
Sales,5157,786
Sales,5817,806
Sales,3289,421
Sales,1982,241
Sales,8143,1102
Sales,5806,830
Sales,6863,852
Sales,995,128
Sales,5389,709
Sales,5656,711
Sales,3483,485
Sales,3548,458
Sales,3338,398
Sales,6832,974
Sales,6846,846
HR,6026,719
HR,12158,1667
HR,8011,1029
HR,6737,819
HR,5525,741
HR,8325,1114
HR,5515,690
HR,6505,786
HR,5648,709
HR,9462,1286
HR,5068,680
HR,5395,688
HR,5834,677
HR,6306,849
HR,7042,933
HR,10076,1322
HR,6224,721
HR,7573,1050
HR,6886,901
HR,8523,1087
HR,5515,695
HR,6901,881
HR,6367,790
HR,6510,799
HR,1710,218
HR,6326,811
HR,4730,573
HR,6265,839
HR,7533,1099
HR,10748,1342
HR,5282,670
HR,8610,1102
HR,8426,1125
HR,5311,717
HR,6058,757
HR,7818,974
HR,6571,830
HR,6311,837
HR,7713,1000
HR,5735,810
HR,6925,921
HR,7811,1019
HR,9179,1130
HR,11856,1542
HR,11414,1413
HR,6643,831
HR,5094,632
HR,5883,735
HR,8693,1110
HR,6692,845
HR,6171,797
HR,11011,1438
HR,2483,286
HR,1805,212
HR,8537,1068
HR,12837,1568
HR,5450,661
HR,12971,1812
HR,4874,618
HR,5366,714
HR,8991,1191
HR,5113,697
HR,8024,1051
HR,7190,838
HR,11623,1551
HR,6860,899
HR,6108,766
HR,2728,338
HR,9078,1156
HR,2561,308
HR,5534,771
HR,2213,278
HR,2682,328
HR,5018,641
HR,6798,842
HR,11205,1339
HR,2511,323
HR,9178,1136
HR,5776,705
HR,3285,393
HR,5796,742
HR,8867,1092
HR,5916,775
HR,9881,1219
HR,7283,1009
HR,6853,929
HR,5958,707
HR,13529,1748
HR,5776,738
HR,5331,675
HR,6440,826
HR,5270,669
HR,4726,608
HR,7302,967
HR,3214,408
HR,2511,309
HR,5128,668
HR,5904,756
HR,5338,649
HR,6196,829
HR,8078,1112
HR,6914,904
HR,1805,194
HR,5599,696
HR,5204,655
HR,6459,856
HR,8293,964
HR,8200,1223
HR,5514,749
HR,7357,915
HR,12722,1656
HR,5544,735
HR,7968,997
HR,7363,929
HR,15411,2018
IT,2750,346
IT,2007,254
IT,4885,647
IT,2348,303
IT,5993,772
IT,7998,1085
IT,5454,702
IT,10758,1333
IT,5151,655
IT,5982,811
IT,6322,867
IT,1797,237
IT,3082,412
IT,14801,2050
IT,9378,1222
IT,6059,815
IT,5702,722
IT,5099,728
IT,5466,718
IT,5254,701
IT,2718,329
IT,6952,845
IT,7195,945
IT,5328,674
IT,6139,791
IT,7170,887
IT,8509,1079
IT,3765,511
IT,3884,514
IT,6162,756
IT,6420,843
IT,3570,450
IT,11244,1498
IT,24500,3301
IT,6582,854
IT,7602,1013
IT,6644,844
IT,13098,1769
IT,2710,334
IT,7977,1113
IT,5115,634
IT,4387,543
IT,2766,330
IT,5875,816
IT,5040,643
IT,5428,663
IT,5359,691
IT,7538,985
IT,6913,910
IT,5429,739
IT,5282,695
IT,6104,845
IT,2839,343
IT,6768,853
IT,5928,705
IT,8089,1058
IT,8529,1081
IT,9454,1217
IT,5507,783
IT,1888,257
IT,2995,368
IT,8657,1138
IT,5276,683
IT,7646,943
IT,5963,772
IT,6787,826
IT,3082,391
IT,3242,422
IT,2437,298
IT,6463,856
IT,12914,1869
IT,6349,845
IT,5917,861
IT,3244,424
IT,2185,272
IT,4548,580
IT,2711,331
IT,4951,631
IT,3091,379
IT,10000,1285
IT,3709,484
IT,7849,1000
IT,6303,806
IT,5221,636
IT,6450,850
IT,5283,703
IT,7507,972
IT,8970,1146
IT,4884,596
IT,7020,869
IT,7945,987
IT,6479,766
IT,3687,470
IT,5540,695
IT,6674,845
IT,4422,535
Engineering,7935,1001
Engineering,1749,213
Engineering,6974,920
Engineering,5033,632
Engineering,5493,693
Engineering,13903,1763
Engineering,9725,1286
Engineering,7045,899
Engineering,4535,561
Engineering,5226,651
Engineering,3593,439
Engineering,7186,863
Engineering,2210,278
Engineering,6056,794
Engineering,2379,283
Engineering,6618,840
Engineering,5500,683
Engineering,6173,799
Engineering,3485,462
Engineering,6651,852
Engineering,6307,822
Engineering,5056,661
Engineering,7274,885
Engineering,7498,974
Engineering,7175,929
Engineering,4952,659
Engineering,8239,994
Engineering,5943,738
Engineering,5430,692
Engineering,5198,636
Engineering,5738,767
Engineering,5038,609
Engineering,3675,440
Engineering,5401,804
Engineering,5140,684
Engineering,22032,2889
HR,7687,1046
HR,3780,506
HR,1935,240
HR,1483,189
HR,6268,827
HR,6399,854
HR,2102,286
HR,1447,193
HR,8552,1171
HR,38842,5080
HR,3004,442
HR,2319,286
HR,2017,273
HR,2156,251
HR,4977,627
HR,5651,873
HR,5351,668
HR,7656,1099
HR,6134,849
HR,9746,1257
HR,3005,408
HR,4849,650
HR,6303,784
HR,7965,1016
HR,6847,918
HR,4934,691
HR,5730,716
HR,12404,1650
HR,6264,803
HR,14694,1979
HR,5189,684
HR,2431,321
HR,5130,646
HR,1390,176
HR,4961,771
HR,5817,782
HR,5245,700
HR,1349,164
HR,5606,730
HR,5198,677
HR,8602,1033
HR,6310,780
HR,6266,839
HR,1130,149
HR,3527,487
HR,3642,453
HR,2282,293
HR,5630,912
HR,5921,798
HR,6421,903
HR,6100,891
HR,6446,864
HR,10608,1429
HR,5337,906
HR,11306,1449
HR,8357,1223
HR,5547,716
HR,7887,1030
HR,6260,911
HR,5136,713
HR,5522,716
HR,6785,844
HR,6087,804
HR,6498,877
HR,5240,701
HR,6129,868
HR,3755,461
HR,2008,271
HR,5612,781
HR,2077,257
HR,8390,1120
HR,6468,833
HR,2734,399
HR,7744,1038
HR,9794,1222
HR,6482,869
HR,5804,742
HR,3794,512
HR,6062,779
HR,5829,757
HR,6880,911
HR,5850,731
HR,5369,732
HR,7016,950
HR,5152,627
HR,6318,793
HR,6694,867
HR,6136,743
HR,5903,711
HR,8810,1125
HR,7394,1018
HR,3254,433
HR,5316,739
HR,5886,731
HR,6623,903
HR,5359,714
HR,9066,1242
HR,1716,192
HR,6632,862
HR,2181,274
HR,3104,405
HR,7100,1158
HR,5654,764
HR,5516,661
HR,5838,736
HR,5125,650
HR,7298,967
HR,5536,688
HR,5884,793
HR,6777,896
HR,10901,1417
HR,7618,1113
HR,6872,931
HR,5091,696
HR,5327,648
HR,7137,869
HR,5521,769
HR,5274,675
Finance,3547,464
Finance,3096,373
Finance,10236,1203
Finance,5886,744
Finance,3565,432
